pitcher_name,missing_data_type
evan justice,Stuff+/Location+
andrew wantz,Stuff+/Location+
amir garrett,Stuff+/Location+
connor brogdon,Stuff+/Location+
carl edwards jr,Stuff+/Location+
matt krook,Stuff+/Location+
oswaldo cabrera,Stuff+/Location+
clayton andrews,Stuff+/Location+
riley pint,Stuff+/Location+
rich hill,Stuff+/Location+
lyon richardson,Stuff+/Location+
brent headrick,Stuff+/Location+
tejay antone,Stuff+/Location+
sean reynolds,Stuff+/Location+
jonathan bowlan,Stuff+/Location+
jose quijada,Stuff+/Location+
nicky lopez,Stuff+/Location+
parker dunshee,Stuff+/Location+
alex speas,Stuff+/Location+
dylan coleman,Stuff+/Location+
andrew saalfrank,Stuff+/Location+
edgardo henriquez,Stuff+/Location+
prelander berroa,Stuff+/Location+
jake diekman,Stuff+/Location+
erik sabrowski,Stuff+/Location+
nick burdi,Stuff+/Location+
brooks raley,Stuff+/Location+
isaac mattson,Stuff+/Location+
tyler zuber,Stuff+/Location+
cristian mena,Stuff+/Location+
jeff criswell,Stuff+/Location+
andrew nardi,Stuff+/Location+
ryan burr,Stuff+/Location+
keegan thompson,Stuff+/Location+
victor mederos,Stuff+/Location+
david robertson,Stuff+/Location+
nick hernandez,Stuff+/Location+
brandon hughes,Stuff+/Location+
michael mercado,Stuff+/Location+
dedniel nunez,Stuff+/Location+
sean reid-foley,Stuff+/Location+
yency almonte,Stuff+/Location+
jacob waguespack,Stuff+/Location+
luke little,Stuff+/Location+
andrew chafin,Stuff+/Location+
drew smith,Stuff+/Location+
kyle bradish,Stuff+/Location+
tyler duffey,Stuff+/Location+
dan altavilla,Stuff+/Location+
mike burrows,Stuff+/Location+
ty adcock,Stuff+/Location+
dany jimenez,Stuff+/Location+
tyler beede,Stuff+/Location+
chad patrick,Stuff+/Location+
alex lange,Stuff+/Location+
ben casparius,Stuff+/Location+
yosver zulueta,Stuff+/Location+
austin adams,Stuff+/Location+
steven wilson,Stuff+/Location+
zach logue,Stuff+/Location+
thyago vieira,Stuff+/Location+
vladimir gutierrez,Stuff+/Location+
deivi garcia,Stuff+/Location+
zack thompson,Stuff+/Location+
adam ottavino,Stuff+/Location+
daniel palencia,Stuff+/Location+
john mcmillon,Stuff+/Location+
touki toussaint,Stuff+/Location+
matt koch,Stuff+/Location+
amos willingham,Stuff+/Location+
clayton beeter,Stuff+/Location+
grant anderson,Stuff+/Location+
luis frias,Stuff+/Location+
jay jackson,Stuff+/Location+
ron marinaccio,Stuff+/Location+
giovanny gallegos,Stuff+/Location+
dominic leone,Stuff+/Location+
jack neely,Stuff+/Location+
jose cisnero,Stuff+/Location+
hurston waldrep,Stuff+/Location+
joe jimenez,Stuff+/Location+
blake walston,Stuff+/Location+
chris devenski,Stuff+/Location+
joe kelly,Stuff+/Location+
matt andriese,Stuff+/Location+
sam hentges,Stuff+/Location+
nick nelson,Stuff+/Location+
caden dana,Stuff+/Location+
bobby miller,Stuff+/Location+
eduard bazardo,Stuff+/Location+
jonathan hernandez,Stuff+/Location+
jacob latz,Stuff+/Location+
cole sulser,Stuff+/Location+
alek manoah,Stuff+/Location+
spencer turnbull,Stuff+/Location+
shawn dubin,Stuff+/Location+
trevor richards,Stuff+/Location+
julio teheran,Stuff+/Location+
bryan shaw,Stuff+/Location+
mike yastrzemski,Stuff+/Location+
josh rojas,Stuff+/Location+
vidal brujan,Stuff+/Location+
alex faedo,Stuff+/Location+
jose cuas,Stuff+/Location+
matt moore,Stuff+/Location+
josh maciejewski,Stuff+/Location+
kyle nicolas,Stuff+/Location+
jacob lopez,Stuff+/Location+
erik swanson,Stuff+/Location+
ray kerr,Stuff+/Location+
sean newcomb,Stuff+/Location+
roddery munoz,Stuff+/Location+
daniel hudson,Stuff+/Location+
ben rortvedt,Stuff+/Location+
jb bukauskas,Stuff+/Location+
josiah gray,Stuff+/Location+
zac kristofak,Stuff+/Location+
eric orze,Stuff+/Location+
ryan miller,Stuff+/Location+
dl hall,Stuff+/Location+
jose e hernandez,Stuff+/Location+
mike baumann,Stuff+/Location+
scott effross,Stuff+/Location+
pedro avila,Stuff+/Location+
gerrit cole,Stuff+/Location+
grant holman,Stuff+/Location+
huascar brazoban,Stuff+/Location+
brandon williamson,Stuff+/Location+
landon knack,Stuff+/Location+
austin voth,Stuff+/Location+
buck farmer,Stuff+/Location+
jp feyereisen,Stuff+/Location+
drew smyly,Stuff+/Location+
dane dunning,Stuff+/Location+
erasmo ramirez,Stuff+/Location+
alex young,Stuff+/Location+
jackson rutledge,Stuff+/Location+
yerry rodriguez,Stuff+/Location+
michael grove,Stuff+/Location+
patrick sandoval,Stuff+/Location+
tanner rainey,Stuff+/Location+
chad kuhl,Stuff+/Location+
domingo german,Stuff+/Location+
zach penrod,Stuff+/Location+
cody bolton,Stuff+/Location+
carson fulmer,Stuff+/Location+
emmanuel ramirez,Stuff+/Location+
joey lucchesi,Stuff+/Location+
scott mcgough,Stuff+/Location+
daniel robert,Stuff+/Location+
river ryan,Stuff+/Location+
nick avila,Stuff+/Location+
nick robertson,Stuff+/Location+
jake bloss,Stuff+/Location+
walter pennington,Stuff+/Location+
adam oller,Stuff+/Location+
will klein,Stuff+/Location+
matt festa,Stuff+/Location+
yunior marte,Stuff+/Location+
yoendrys gomez,Stuff+/Location+
andrew kittredge,Stuff+/Location+
colten brewer,Stuff+/Location+
jordan weems,Stuff+/Location+
joe musgrove,Stuff+/Location+
jt chargois,Stuff+/Location+
jordan wicks,Stuff+/Location+
aaron hicks,Stuff+/Location+
tyler matzek,Stuff+/Location+
patrick wisdom,Stuff+/Location+
ben heller,Stuff+/Location+
austin davis,Stuff+/Location+
dinelson lamet,Stuff+/Location+
daniel duarte,Stuff+/Location+
cristian javier,Stuff+/Location+
adbert alzolay,Stuff+/Location+
ian gibaut,Stuff+/Location+
tyler jay,Stuff+/Location+
anthony misiewicz,Stuff+/Location+
matt foster,Stuff+/Location+
jhonny pereda,Stuff+/Location+
brusdar graterol,Stuff+/Location+
eli villalobos,Stuff+/Location+
kyle nelson,Stuff+/Location+
kody clemens,Stuff+/Location+
chase shugart,Stuff+/Location+
omar cruz,Stuff+/Location+
blair henley,Stuff+/Location+
brandon eisert,Stuff+/Location+
ky bush,Stuff+/Location+
chayce mcdermott,Stuff+/Location+
dylan dodd,Stuff+/Location+
justin wrobleski,Stuff+/Location+
kyle tyler,Stuff+/Location+
ethan roberts,Stuff+/Location+
scott blewett,Stuff+/Location+
guillo zuniga,Stuff+/Location+
roansy contreras,Stuff+/Location+
genesis cabrera,Stuff+/Location+
sam aldegheri,Stuff+/Location+
josh walker,Stuff+/Location+
nick anderson,Stuff+/Location+
diego castillo,Stuff+/Location+
tommy nance,Stuff+/Location+
jp france,Stuff+/Location+
gus varland,Stuff+/Location+
colin selby,Stuff+/Location+
zach brzykcy,Stuff+/Location+
jesse chavez,Stuff+/Location+
declan cronin,Stuff+/Location+
spencer howard,Stuff+/Location+
josh sborz,Stuff+/Location+
anthony gose,Stuff+/Location+
bailey horn,Stuff+/Location+
adam cimber,Stuff+/Location+
yohan ramirez,Stuff+/Location+
bryan sammons,Stuff+/Location+
kody funderburk,Stuff+/Location+
easton lucas,Stuff+/Location+
tom cosgrove,Stuff+/Location+
josh staumont,Stuff+/Location+
mason black,Stuff+/Location+
tommy henry,Stuff+/Location+
brandon leibrandt,Stuff+/Location+
yonny chirinos,Stuff+/Location+
jose marte,Stuff+/Location+
janson junk,Stuff+/Location+
caleb kilian,Stuff+/Location+
naoyuki uwasawa,Stuff+/Location+
matt bowman,Stuff+/Location+
alex wood,Stuff+/Location+
michael petersen,Stuff+/Location+
luis medina,Stuff+/Location+
joe la sorsa,Stuff+/Location+
jonathan heasley,Stuff+/Location+
adam mazur,Stuff+/Location+
hunter strickland,Stuff+/Location+
austin warren,Stuff+/Location+
kai-wei teng,Stuff+/Location+
matt manning,Stuff+/Location+
james paxton,Stuff+/Location+
kolby allard,Stuff+/Location+
peter lambert,Stuff+/Location+
rafael montero,Stuff+/Location+
bryce jarvis,Stuff+/Location+
jared shuster,Stuff+/Location+
thomas harrington,Stuff+/Location+
kevin herget,Stuff+/Location+
ryder ryan,Stuff+/Location+
ryan johnson,Stuff+/Location+
christian scott,Stuff+/Location+
enoli paredes,Stuff+/Location+
tristan beck,Stuff+/Location+
isaiah campbell,Stuff+/Location+
trevor rogers,Stuff+/Location+
chris flexen,Stuff+/Location+
zach plesac,Stuff+/Location+
gavin stone,Stuff+/Location+
chase anderson,Stuff+/Location+
zach pop,Stuff+/Location+
austin pruitt,Stuff+/Location+
kirby snead,Stuff+/Location+
davis daniel,Stuff+/Location+
brady basso,Stuff+/Location+
grant hartwig,Stuff+/Location+
wes parsons,Stuff+/Location+
josh winder,Stuff+/Location+
kenny rosenberg,Stuff+/Location+
james mcarthur,Stuff+/Location+
slade cecconi,Stuff+/Location+
casey kelly,Stuff+/Location+
angel perdomo,Stuff+/Location+
trey wingenter,Stuff+/Location+
raymond burgos,Stuff+/Location+
josh winckowski,Stuff+/Location+
yilber diaz,Stuff+/Location+
drew thorpe,Stuff+/Location+
tyler wells,Stuff+/Location+
elieser hernandez,Stuff+/Location+
kent emanuel,Stuff+/Location+
matt carasiti,Stuff+/Location+
julian aguiar,Stuff+/Location+
dallas keuchel,Stuff+/Location+
victor gonzalez,Stuff+/Location+
gerardo reyes,Stuff+/Location+
sammy peralta,Stuff+/Location+
peter strzelecki,Stuff+/Location+
adrian houser,Stuff+/Location+
seth martinez,Stuff+/Location+
will smith,Stuff+/Location+
daulton jefferies,Stuff+/Location+
matt sauer,Stuff+/Location+
mitch white,Stuff+/Location+
geoff hartlieb,Stuff+/Location+
dakota hudson,Stuff+/Location+
hunter stratton,Stuff+/Location+
ryan yarbrough,Stuff+/Location+
cody poteet,Stuff+/Location+
nabil crismatt,Stuff+/Location+
jhonathan diaz,Stuff+/Location+
allan winans,Stuff+/Location+
ty madden,Stuff+/Location+
braxton garrett,Stuff+/Location+
jaden hill,Stuff+/Location+
cooper criswell,Stuff+/Location+
joely rodriguez,Stuff+/Location+
michael kelly,Stuff+/Location+
randy dobnak,Stuff+/Location+
burch smith,Stuff+/Location+
nick vespi,Stuff+/Location+
jordan montgomery,Stuff+/Location+
jose urena,Stuff+/Location+
darren mccaughan,Stuff+/Location+
jordan lyles,Stuff+/Location+
elvin rodriguez,Stuff+/Location+
carlos rodriguez,Stuff+/Location+
jack dreyer,Stuff+/Location+
tanner gordon,Stuff+/Location+
noah davis,Stuff+/Location+
johnny cueto,Stuff+/Location+
cole winn,Stuff+/Location+
justin bruihl,Stuff+/Location+
marco gonzales,Stuff+/Location+
darius vines,Stuff+/Location+
anthony molina,Stuff+/Location+
kyle muller,Stuff+/Location+
xzavion curry,Stuff+/Location+
jack o'loughlin,Stuff+/Location+
ricardo pinto,Stuff+/Location+
cole irvin,Stuff+/Location+
dylan floro,Stuff+/Location+
paolo espino,Stuff+/Location+
matt barnes,Stuff+/Location+
john curtiss,Stuff+/Location+
john means,Stuff+/Location+
cole tucker,Stuff+/Location+
dillon tate,Stuff+/Location+
zach mckinstry,Stuff+/Location+
nick pratto,Stuff+/Location+
joan adon,Stuff+/Location+
joe jacques,Stuff+/Location+
james meeker,Stuff+/Location+
mason fluharty,Stuff+/Location+
josh fleming,Stuff+/Location+
jake woodford,Stuff+/Location+
quinn priester,Stuff+/Location+
jonathan bermudez,Stuff+/Location+
max lazar,Stuff+/Location+
vinny nittoli,Stuff+/Location+
jackson stephens,Stuff+/Location+
casey legumina,Stuff+/Location+
jhony brito,Stuff+/Location+
anthony maldonado,Stuff+/Location+
humberto castellanos,Stuff+/Location+
brandon bielak,Stuff+/Location+
isiah kiner-falefa,Stuff+/Location+
steven cruz,Stuff+/Location+
seth johnson,Stuff+/Location+
jake eder,Stuff+/Location+
miguel castro,Stuff+/Location+
ty blach,Stuff+/Location+
brent honeywell,Stuff+/Location+
david buchanan,Stuff+/Location+
brett de geus,Stuff+/Location+
garrett stubbs,Stuff+/Location+
sixto sanchez,Stuff+/Location+
rob zastryzny,Stuff+/Location+
phil bickford,Stuff+/Location+
aaron brooks,Stuff+/Location+
brandon crawford,Stuff+/Location+
james mccann,Stuff+/Location+
david bote,Stuff+/Location+
pablo reyes,Stuff+/Location+
luis guillorme,Stuff+/Location+
eddy alvarez,Stuff+/Location+
jonathan loaisiga,Stuff+/Location+
pavin smith,Stuff+/Location+
trevor mcdonald,Stuff+/Location+
jake bauers,Stuff+/Location+
sean guenther,Stuff+/Location+
nick ramirez,Stuff+/Location+
alan busenitz,Stuff+/Location+
austin kitchen,Stuff+/Location+
logan gillaspie,Stuff+/Location+
andrew knizner,Stuff+/Location+
parker mushinski,Stuff+/Location+
austin hedges,Stuff+/Location+
lucas gilbreath,Stuff+/Location+
owen miller,Stuff+/Location+
gavin hollowell,Stuff+/Location+
robert gasser,Stuff+/Location+
shaun anderson,Stuff+/Location+
tucker davidson,Stuff+/Location+
jose trevino,Stuff+/Location+
joel kuhnel,Stuff+/Location+
caleb boushley,Stuff+/Location+
kyle hurt,Stuff+/Location+
tucker barnhart,Stuff+/Location+
josh rogers,Stuff+/Location+
ildemaro vargas,Stuff+/Location+
owen white,Stuff+/Location+
luarbert arias,Stuff+/Location+
david hensley,Stuff+/Location+
ryan loutos,Stuff+/Location+
dominic smith,Stuff+/Location+
brady feigl,Stuff+/Location+
rowdy tellez,Stuff+/Location+
ricky vanasco,Stuff+/Location+
luke maile,Stuff+/Location+
kyle farmer,Stuff+/Location+
luke williams,Stuff+/Location+
emmanuel rivera,Stuff+/Location+
miguel rojas,Stuff+/Location+
enrique hernandez,Stuff+/Location+
chasen shreve,Stuff+/Location+
miguel sano,Stuff+/Location+
tyler heineman,Stuff+/Location+
wander suero,Stuff+/Location+
luis torrens,Stuff+/Location+
luis f ortiz,Stuff+/Location+
willi castro,Stuff+/Location+
miguel diaz,Stuff+/Location+
danny mendick,Stuff+/Location+
garrett hampson,Stuff+/Location+
donovan walton,Stuff+/Location+
weston wilson,Stuff+/Location+
ernie clement,Stuff+/Location+
leo rivas,Stuff+/Location+
ezequiel duran,Stuff+/Location+
adam kloffenstein,Stuff+/Location+
michael stefanic,Stuff+/Location+
grae kessinger,Stuff+/Location+
tyler fitzgerald,Stuff+/Location+
matt wallner,Stuff+/Location+
evan kravetz,Stuff+/Location+
nick loftin,Stuff+/Location+
matt mervis,Stuff+/Location+
clayton andrews,xSLG
lyon richardson,xSLG
matt koch,xSLG
lucas gilbreath,xSLG
john curtiss,xSLG
jonathan bowlan,xSLG
carl edwards jr,xSLG
zach logue,xSLG
james mccann,xSLG
matt mervis,xSLG
owen miller,xSLG
tucker barnhart,xSLG
connor brogdon,xSLG
brady feigl,xSLG
eric orze,xSLG
owen white,xSLG
hurston waldrep,xSLG
raymond burgos,xSLG
blair henley,xSLG
garrett stubbs,xSLG
riley pint,xSLG
dylan dodd,xSLG
brandon leibrandt,xSLG
jonathan bermudez,xSLG
allan winans,xSLG
ricardo pinto,xSLG
daulton jefferies,xSLG
nick hernandez,xSLG
justin bruihl,xSLG
janson junk,xSLG
alex speas,xSLG
josiah gray,xSLG
andrew wantz,xSLG
seth johnson,xSLG
ty adcock,xSLG
patrick wisdom,xSLG
austin kitchen,xSLG
luis guillorme,xSLG
giovanny gallegos,xSLG
ben rortvedt,xSLG
zac kristofak,xSLG
anthony gose,xSLG
zack thompson,xSLG
andrew saalfrank,xSLG
luis f ortiz,xSLG
tejay antone,xSLG
cristian mena,xSLG
jhonathan diaz,xSLG
gavin hollowell,xSLG
yonny chirinos,xSLG
luke maile,xSLG
caden dana,xSLG
ryan johnson,xSLG
ildemaro vargas,xSLG
nick nelson,xSLG
paolo espino,xSLG
tyler beede,xSLG
touki toussaint,xSLG
danny mendick,xSLG
bryan shaw,xSLG
prelander berroa,xSLG
david hensley,xSLG
ryan loutos,xSLG
tanner gordon,xSLG
luis frias,xSLG
jake bloss,xSLG
tom cosgrove,xSLG
casey legumina,xSLG
michael mercado,xSLG
julio teheran,xSLG
donovan walton,xSLG
tyler jay,xSLG
amir garrett,xSLG
dominic smith,xSLG
noah davis,xSLG
kody clemens,xSLG
nick avila,xSLG
sean reynolds,xSLG
dallas keuchel,xSLG
isaiah campbell,xSLG
easton lucas,xSLG
andrew nardi,xSLG
dan altavilla,xSLG
shaun anderson,xSLG
ray kerr,xSLG
guillo zuniga,xSLG
ben heller,xSLG
adam mazur,xSLG
carlos rodriguez,xSLG
austin adams,xSLG
matt andriese,xSLG
miguel castro,xSLG
grant anderson,xSLG
phil bickford,xSLG
sean newcomb,xSLG
jonathan heasley,xSLG
eddy alvarez,xSLG
davis daniel,xSLG
austin davis,xSLG
jaden hill,xSLG
kyle farmer,xSLG
matt carasiti,xSLG
darius vines,xSLG
joan adon,xSLG
joely rodriguez,xSLG
brett de geus,xSLG
vidal brujan,xSLG
jackson stephens,xSLG
emmanuel ramirez,xSLG
sam aldegheri,xSLG
kolby allard,xSLG
spencer howard,xSLG
daniel robert,xSLG
grant holman,xSLG
slade cecconi,xSLG
peter lambert,xSLG
tommy henry,xSLG
sam hentges,xSLG
geoff hartlieb,xSLG
zach brzykcy,xSLG
kirby snead,xSLG
trey wingenter,xSLG
matt sauer,xSLG
cole tucker,xSLG
jay jackson,xSLG
josh walker,xSLG
amos willingham,xSLG
ernie clement,xSLG
dominic leone,xSLG
kody funderburk,xSLG
elvin rodriguez,xSLG
tyler fitzgerald,xSLG
bailey horn,xSLG
cody bolton,xSLG
dany jimenez,xSLG
chris devenski,xSLG
yosver zulueta,xSLG
jake diekman,xSLG
daniel duarte,xSLG
edgardo henriquez,xSLG
ky bush,xSLG
tyler zuber,xSLG
anthony maldonado,xSLG
jordan montgomery,xSLG
matt krook,xSLG
ian gibaut,xSLG
jordan weems,xSLG
erik swanson,xSLG
michael petersen,xSLG
drew smyly,xSLG
jordan wicks,xSLG
mike baumann,xSLG
jake woodford,xSLG
chad kuhl,xSLG
adam ottavino,xSLG
drew smith,xSLG
genesis cabrera,xSLG
bobby miller,xSLG
gus varland,xSLG
darren mccaughan,xSLG
scott mcgough,xSLG
jake eder,xSLG
chris flexen,xSLG
kent emanuel,xSLG
jose cisnero,xSLG
alex young,xSLG
shawn dubin,xSLG
clayton beeter,xSLG
yohan ramirez,xSLG
colten brewer,xSLG
jack dreyer,xSLG
seth martinez,xSLG
julian aguiar,xSLG
casey kelly,xSLG
jack neely,xSLG
roddery munoz,xSLG
alex wood,xSLG
ryan burr,xSLG
jonathan hernandez,xSLG
steven wilson,xSLG
matt moore,xSLG
vladimir gutierrez,xSLG
domingo german,xSLG
ron marinaccio,xSLG
james mcarthur,xSLG
thyago vieira,xSLG
tyler matzek,xSLG
dl hall,xSLG
adam oller,xSLG
brandon williamson,xSLG
ryan miller,xSLG
josh fleming,xSLG
michael grove,xSLG
jeff criswell,xSLG
chase anderson,xSLG
cooper criswell,xSLG
austin voth,xSLG
ethan roberts,xSLG
nick robertson,xSLG
alex faedo,xSLG
trevor rogers,xSLG
jacob lopez,xSLG
dillon tate,xSLG
mason black,xSLG
nick anderson,xSLG
jp france,xSLG
parker dunshee,xSLG
hunter stratton,xSLG
gerardo reyes,xSLG
logan gillaspie,xSLG
alan busenitz,xSLG
brent headrick,xSLG
patrick sandoval,xSLG
chase shugart,xSLG
jesse chavez,xSLG
quinn priester,xSLG
ty blach,xSLG
blake walston,xSLG
kai-wei teng,xSLG
josh winckowski,xSLG
deivi garcia,xSLG
luis medina,xSLG
adbert alzolay,xSLG
john mcmillon,xSLG
matt festa,xSLG
diego castillo,xSLG
zach mckinstry,xSLG
yunior marte,xSLG
kyle bradish,xSLG
ty madden,xSLG
yerry rodriguez,xSLG
jhonny pereda,xSLG
gavin stone,xSLG
eduard bazardo,xSLG
will klein,xSLG
yilber diaz,xSLG
sixto sanchez,xSLG
cristian javier,xSLG
brandon hughes,xSLG
landon knack,xSLG
brandon bielak,xSLG
chad patrick,xSLG
zach pop,xSLG
matt manning,xSLG
joe kelly,xSLG
declan cronin,xSLG
adrian houser,xSLG
jonathan loaisiga,xSLG
nick burdi,xSLG
brady basso,xSLG
daniel palencia,xSLG
james paxton,xSLG
michael kelly,xSLG
jackson rutledge,xSLG
joe musgrove,xSLG
elieser hernandez,xSLG
robert gasser,xSLG
rafael montero,xSLG
hunter strickland,xSLG
andrew chafin,xSLG
drew thorpe,xSLG
burch smith,xSLG
dane dunning,xSLG
will smith,xSLG
kyle muller,xSLG
kenny rosenberg,xSLG
brandon crawford,xSLG
max lazar,xSLG
mitch white,xSLG
christian scott,xSLG
joe la sorsa,xSLG
josh rogers,xSLG
jacob waguespack,xSLG
cole irvin,xSLG
jose urena,xSLG
jhony brito,xSLG
jose cuas,xSLG
jared shuster,xSLG
carson fulmer,xSLG
dakota hudson,xSLG
ryder ryan,xSLG
roansy contreras,xSLG
andrew kittredge,xSLG
justin wrobleski,xSLG
kyle nicolas,xSLG
tucker davidson,xSLG
luke little,xSLG
gerrit cole,xSLG
mike burrows,xSLG
scott blewett,xSLG
dedniel nunez,xSLG
nick vespi,xSLG
tristan beck,xSLG
braxton garrett,xSLG
anthony molina,xSLG
emmanuel rivera,xSLG
zach penrod,xSLG
alex lange,xSLG
trevor richards,xSLG
randy dobnak,xSLG
aaron hicks,xSLG
naoyuki uwasawa,xSLG
alek manoah,xSLG
parker mushinski,xSLG
buck farmer,xSLG
peter strzelecki,xSLG
tyler duffey,xSLG
erik sabrowski,xSLG
xzavion curry,xSLG
yoendrys gomez,xSLG
pedro avila,xSLG
cole sulser,xSLG
nicky lopez,xSLG
victor mederos,xSLG
joe jimenez,xSLG
tommy nance,xSLG
kyle tyler,xSLG
matt bowman,xSLG
sean reid-foley,xSLG
rob zastryzny,xSLG
yency almonte,xSLG
jose marte,xSLG
dylan floro,xSLG
walter pennington,xSLG
aaron brooks,xSLG
huascar brazoban,xSLG
jp feyereisen,xSLG
josh rojas,xSLG
vinny nittoli,xSLG
david robertson,xSLG
caleb boushley,xSLG
ben casparius,xSLG
zach plesac,xSLG
daniel hudson,xSLG
brent honeywell,xSLG
josh sborz,xSLG
david buchanan,xSLG
joey lucchesi,xSLG
spencer turnbull,xSLG
jacob latz,xSLG
humberto castellanos,xSLG
miguel sano,xSLG
tanner rainey,xSLG
marco gonzales,xSLG
chayce mcdermott,xSLG
bryce jarvis,xSLG
ryan yarbrough,xSLG
cole winn,xSLG
joel kuhnel,xSLG
erasmo ramirez,xSLG
david bote,xSLG
austin warren,xSLG
jack o'loughlin,xSLG
tyler heineman,xSLG
josh winder,xSLG
johnny cueto,xSLG
nick pratto,xSLG
andrew knizner,xSLG
joe jacques,xSLG
grant hartwig,xSLG
weston wilson,xSLG
sean guenther,xSLG
keegan thompson,xSLG
rowdy tellez,xSLG
bryan sammons,xSLG
jt chargois,xSLG
josh maciejewski,xSLG
matt barnes,xSLG
rich hill,xSLG
adam cimber,xSLG
sammy peralta,xSLG
isiah kiner-falefa,xSLG
wes parsons,xSLG
dylan coleman,xSLG
jose trevino,xSLG
caleb kilian,xSLG
river ryan,xSLG
jose quijada,xSLG
kyle nelson,xSLG
colin selby,xSLG
scott effross,xSLG
brandon eisert,xSLG
austin pruitt,xSLG
tyler wells,xSLG
john means,xSLG
ricky vanasco,xSLG
nick ramirez,xSLG
matt wallner,xSLG
kyle hurt,xSLG
josh staumont,xSLG
victor gonzalez,xSLG
nabil crismatt,xSLG
cody poteet,xSLG
eli villalobos,xSLG
enoli paredes,xSLG
anthony misiewicz,xSLG
james meeker,xSLG
trevor mcdonald,xSLG
enrique hernandez,xSLG
pablo reyes,xSLG
steven cruz,xSLG
jordan lyles,xSLG
mike yastrzemski,xSLG
jake bauers,xSLG
jose e hernandez,xSLG
garrett hampson,xSLG
brusdar graterol,xSLG
kevin herget,xSLG
luke williams,xSLG
matt foster,xSLG
chasen shreve,xSLG
brooks raley,xSLG
oswaldo cabrera,xSLG
luis torrens,xSLG
luarbert arias,xSLG
evan kravetz,xSLG
dinelson lamet,xSLG
michael stefanic,xSLG
leo rivas,xSLG
isaac mattson,xSLG
nick loftin,xSLG
miguel rojas,xSLG
adam kloffenstein,xSLG
willi castro,xSLG
jb bukauskas,xSLG
pavin smith,xSLG
grae kessinger,xSLG
ezequiel duran,xSLG
wander suero,xSLG
miguel diaz,xSLG
austin hedges,xSLG
evan justice,xSLG
